POS,DRIVER,NATIONALITY,CAR,PTS
1,Max Verstappen,NED,RED BULL RACING HONDA,262.5
2,Lewis Hamilton,GBR,MERCEDES,256.5
3,Valtteri Bottas,FIN,MERCEDES,177
4,Lando Norris,GBR,MCLAREN MERCEDES,145
5,Sergio Perez,MEX,RED BULL RACING HONDA,135
6,Carlos Sainz,ESP,FERRARI,116.5
7,Charles Leclerc,MON,FERRARI,116
8,Daniel Ricciardo,AUS,MCLAREN MERCEDES,95
9,Pierre Gasly,FRA,ALPHATAURI HONDA,74
10,Fernando Alonso,ESP,ALPINE RENAULT,58
11,Esteban Ocon,FRA,ALPINE RENAULT,46
12,Sebastian Vettel,GER,ASTON MARTIN MERCEDES,35
13,Lance Stroll,CAN,ASTON MARTIN MERCEDES,26
14,Yuki Tsunoda,JPN,ALPHATAURI HONDA,18
15,George Russell,GBR,WILLIAMS MERCEDES,16
16,Nicholas Latifi,CAN,WILLIAMS MERCEDES,7
17,Kimi Räikkönen,FIN,ALFA ROMEO RACING FERRARI,6
18,Antonio Giovinazzi,ITA,ALFA ROMEO RACING FERRARI,1
19,Mick Schumacher,GER,HAAS FERRARI,0
20,Robert Kubica,POL,ALFA ROMEO RACING FERRARI,0
21,Nikita Mazepin,RAF,HAAS FERRARI,0